,
$,7235588,15065,14525,231.07,224.82,4.00,4.00,
$,7245608,15139,14596,230.79,221.43,4.00,4.00,
$,7255644,15213,14668,230.42,224.19,4.00,4.00,
$,7265652,15287,14740,231.07,224.82,4.00,4.00,
$,7275660,15361,14811,231.07,221.70,4.00,4.00,
$,7285668,15435,14883,231.07,224.82,4.00,4.00,
$,7295676,15509,14954,231.07,221.70,4.00,4.00,
$,7305680,15583,15026,231.16,224.91,4.00,4.00,
$,7315688,15657,15097,231.07,221.70,4.00,4.00,
$,7325692,15731,15169,231.16,224.91,4.00,4.00,
$,7335696,15806,15241,234.28,224.91,4.00,4.00,
$,7345700,15880,15312,231.16,221.79,4.00,4.00,
$,7355720,15954,15384,230.79,224.55,4.00,4.00,
$,7365756,16028,15456,230.42,224.19,4.00,4.00,
$,7375764,16102,15528,231.07,224.82,4.00,4.00,
$,7385772,16176,15599,231.07,221.70,4.00,4.00,
$,7395780,16251,15671,234.19,224.82,4.00,4.00,
$,7405784,16325,15742,231.16,221.79,4.00,4.00,
$,7415792,16399,15814,231.07,224.82,4.00,4.00,
$,7425816,16474,15886,233.81,224.46,4.00,4.00,
$,7435836,16548,15958,230.79,224.55,4.00,4.00,
$,7445856,16622,16030,230.79,224.55,4.00,4.00,
$,7455864,16696,16102,231.07,224.82,4.00,4.00,
$,7465872,16771,16174,234.19,224.82,4.00,4.00,
$,7475884,16845,16245,230.97,221.61,4.00,4.00,
$,7485888,16919,16317,231.16,224.91,4.00,4.00,
$,7495892,16994,16389,234.28,224.91,4.00,4.00,
$,7505896,17068,16461,231.16,224.91,4.00,4.00,
$,7515904,17142,16532,231.07,221.70,4.00,4.00,
$,7525912,17216,16604,231.07,224.82,4.00,4.00,
$,7535952,17291,16676,233.44,224.10,4.00,4.00,
$,7545956,17366,16748,234.28,224.91,4.00,4.00,
$,7555960,17440,16819,231.16,221.79,4.00,4.00,
$,7565972,17514,16891,230.97,224.73,4.00,4.00,
$,7575984,17588,16963,230.97,224.73,4.00,4.00,
$,7586020,17663,17035,233.53,224.19,4.00,4.00,
$,7596044,17738,17107,233.81,224.46,4.00,4.00,
$,7606048,17812,17179,231.16,224.91,4.00,4.00,
$,7616052,17886,17251,231.16,224.91,4.00,4.00,
$,7626056,17960,17322,231.16,221.79,4.00,4.00,
$,7636076,18035,17394,233.91,224.55,4.00,4.00,
$,7646096,18109,17466,230.79,224.55,4.00,4.00,
$,7656100,18183,17537,231.16,221.79,4.00,4.00,
$,7666108,18258,17609,234.19,224.82,4.00,4.00,
$,7676120,18332,17681,230.97,224.73,4.00,4.00,
$,7686160,18406,17753,230.33,224.10,4.00,4.00,
$,7696168,18480,17825,231.07,224.82,4.00,4.00,
$,7706176,18555,17897,234.19,224.82,4.00,4.00,
$,7716180,18629,17968,231.16,221.79,4.00,4.00,
$,7726196,18703,18040,230.88,224.64,4.00,4.00,
$,7736200,18777,18111,231.16,221.79,4.00,4.00,
$,7746208,18851,18183,231.07,224.82,4.00,4.00,
$,7756228,18926,18255,233.91,224.55,4.00,4.00,
$,7766232,19000,18327,231.16,224.91,4.00,4.00,
$,7776236,19074,18399,231.16,224.91,4.00,4.00,
$,7786244,19148,18470,231.07,221.70,4.00,4.00,
$,7796248,19222,18542,231.16,224.91,4.00,4.00,
$,7806252,19297,18614,234.28,224.91,4.00,4.00,
$,7816256,19371,18686,231.16,224.91,4.00,4.00,
$,7826280,19445,18757,230.70,221.34,4.00,4.00,
$,7836284,19519,18829,231.16,224.91,4.00,4.00,
$,7846300,19594,18901,234.00,224.64,4.00,4.00,
$,7856332,19668,18973,230.51,224.28,4.00,4.00,
$,7866348,19742,19045,230.88,224.64,4.00,4.00,
$,7876356,19817,19117,234.19,224.82,4.00,4.00,
$,7886364,19891,19188,231.07,221.70,4.00,4.00,
$,7896372,19965,19260,231.07,224.82,4.00,4.00,
$,7906380,20039,19332,231.07,224.82,4.00,4.00,
$,7916416,20114,19404,233.53,224.19,4.00,4.00,
$,7926436,20188,19476,230.79,224.55,4.00,4.00,
$,7936452,20263,19548,234.00,224.64,4.00,4.00,
$,7946464,20337,19620,230.97,224.73,4.00,4.00,
$,7956472,20411,19692,231.07,224.82,4.00,4.00,
$,7966480,20486,19763,234.19,221.70,4.00,4.00,
$,7976488,20560,19835,231.07,224.82,4.00,4.00,
$,7986500,20634,19907,230.97,224.73,4.00,4.00,
$,7996504,20708,19979,231.16,224.91,4.00,4.00,
$,8006512,20783,20051,234.19,224.82,4.00,4.00,
$,8016536,20857,20123,230.70,224.46,4.00,4.00,
$,8026540,20932,20195,234.28,224.91,4.00,4.00,
$,8036544,21006,20267,231.16,224.91,4.00,4.00,
$,8046552,21080,20338,231.07,221.70,4.00,4.00,
